program_id,task_id,pattern_label,consensus_source
45118973,abc222_g,outside_vocabulary,claude-codex-blinded-agreement
53250614,abc223_e,brute_force_implementation,claude-codex-blinded-agreement
51168884,abc224_f,dynamic_programming,claude-codex-blinded-agreement
31785117,abc225_f,dynamic_programming,claude-codex-blinded-agreement
45483175,abc226_b,hash_map_counting,claude-codex-blinded-agreement
44996770,abc229_a,brute_force_implementation,claude-codex-blinded-agreement
44646979,abc229_e,outside_vocabulary,claude-codex-blinded-agreement
54240175,abc230_c,brute_force_implementation,claude-codex-blinded-agreement
27770752,abc230_g,outside_vocabulary,claude-codex-blinded-agreement
44805380,abc232_d,dynamic_programming,claude-codex-blinded-agreement
38349532,abc233_g,dynamic_programming,claude-codex-blinded-agreement
45477719,abc234_e,brute_force_implementation,claude-codex-blinded-agreement
46026874,abc237_c,two_pointers,claude-codex-blinded-agreement
35962547,abc237_f,dynamic_programming,claude-codex-blinded-agreement
52795863,abc238_e,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
48523335,abc238_f,dynamic_programming,claude-codex-blinded-agreement
52953499,abc239_d,brute_force_implementation,claude-codex-blinded-agreement
41657280,abc241_f,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
46189922,abc241_g,outside_vocabulary,claude-codex-blinded-agreement
45535167,abc242_e,dynamic_programming,claude-codex-blinded-agreement
44607569,abc243_d,simulation,claude-codex-blinded-agreement
45713633,abc244_b,simulation,claude-codex-blinded-agreement
44593613,abc244_d,brute_force_implementation,claude-codex-blinded-agreement
45811431,abc245_f,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
33284569,abc246_g,binary_search,claude-codex-blinded-agreement
39496981,abc247_g,outside_vocabulary,claude-codex-blinded-agreement
45802660,abc248_e,brute_force_implementation,claude-codex-blinded-agreement
45700046,abc250_d,two_pointers,claude-codex-blinded-agreement
31608048,abc250_g,greedy,claude-codex-blinded-agreement
45243368,abc252_b,sorting_based,claude-codex-blinded-agreement
32688484,abc256_g,outside_vocabulary,claude-codex-blinded-agreement
45289055,abc257_a,brute_force_implementation,claude-codex-blinded-agreement
45044587,abc257_c,sorting_based,claude-codex-blinded-agreement
52382935,abc259_d,outside_vocabulary,claude-codex-blinded-agreement
45515452,abc259_e,hash_map_counting,claude-codex-blinded-agreement
33361937,abc260_g,prefix_sums,claude-codex-blinded-agreement
33776994,abc262_g,dynamic_programming,claude-codex-blinded-agreement
45798886,abc265_b,simulation,claude-codex-blinded-agreement
45966660,abc265_d,prefix_sums,claude-codex-blinded-agreement
43487741,abc265_f,dynamic_programming,claude-codex-blinded-agreement
45233540,abc267_b,brute_force_implementation,claude-codex-blinded-agreement
45550363,abc267_d,dynamic_programming,claude-codex-blinded-agreement
45545460,abc267_f,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
43509672,abc269_g,dynamic_programming,claude-codex-blinded-agreement
45974029,abc270_d,dynamic_programming,claude-codex-blinded-agreement
46008428,abc271_d,dynamic_programming,claude-codex-blinded-agreement
37700812,abc271_g,outside_vocabulary,claude-codex-blinded-agreement
45282989,abc272_c,sorting_based,claude-codex-blinded-agreement
45575170,abc272_d,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
48974864,abc272_g,outside_vocabulary,claude-codex-blinded-agreement
44917428,abc275_c,brute_force_implementation,claude-codex-blinded-agreement
37220565,abc275_g,binary_search,claude-codex-blinded-agreement
46190302,abc278_e,sliding_window,claude-codex-blinded-agreement
45944008,abc281_b,brute_force_implementation,claude-codex-blinded-agreement
45462979,abc283_d,simulation,claude-codex-blinded-agreement
45759088,abc283_e,dynamic_programming,claude-codex-blinded-agreement
46910621,abc283_f,outside_vocabulary,claude-codex-blinded-agreement
45471607,abc286_d,dynamic_programming,claude-codex-blinded-agreement
46180932,abc287_c,outside_vocabulary,claude-codex-blinded-agreement
45332649,abc289_c,brute_force_implementation,claude-codex-blinded-agreement
46033056,abc289_d,dynamic_programming,claude-codex-blinded-agreement
45463729,abc289_e,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
45270856,abc290_c,sorting_based,claude-codex-blinded-agreement
45489809,abc291_d,dynamic_programming,claude-codex-blinded-agreement
45325123,abc291_e,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
45536157,abc292_c,outside_vocabulary,claude-codex-blinded-agreement
44987159,abc292_d,outside_vocabulary,claude-codex-blinded-agreement
45523633,abc292_f,binary_search,claude-codex-blinded-agreement
45933759,abc296_d,brute_force_implementation,claude-codex-blinded-agreement
45226037,abc296_f,outside_vocabulary,claude-codex-blinded-agreement
45710768,abc298_d,simulation,claude-codex-blinded-agreement
46008577,abc298_e,dynamic_programming,claude-codex-blinded-agreement
41059627,abc298_g,dynamic_programming,claude-codex-blinded-agreement
41069355,abc299_f,dynamic_programming,claude-codex-blinded-agreement
45723196,abc300_b,brute_force_implementation,claude-codex-blinded-agreement
45749744,abc300_c,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
45250612,abc300_e,dynamic_programming,claude-codex-blinded-agreement
45923968,abc300_f,binary_search,claude-codex-blinded-agreement
45763953,abc302_b,brute_force_implementation,claude-codex-blinded-agreement
45574429,abc304_d,hash_map_counting,claude-codex-blinded-agreement
41991921,abc304_g,binary_search,claude-codex-blinded-agreement
46169156,abc305_b,brute_force_implementation,claude-codex-blinded-agreement
54718266,abc308_d,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
45895898,abc309_c,binary_search,claude-codex-blinded-agreement
45971969,abc309_e,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
46217262,abc310_b,brute_force_implementation,claude-codex-blinded-agreement
43899768,abc311_g,prefix_sums,claude-codex-blinded-agreement
46028780,abc312_c,binary_search,claude-codex-blinded-agreement
52032093,abc312_d,dynamic_programming,claude-codex-blinded-agreement
46134579,abc313_g,outside_vocabulary,claude-codex-blinded-agreement
45979954,abc314_b,brute_force_implementation,claude-codex-blinded-agreement
45808089,abc314_e,dynamic_programming,claude-codex-blinded-agreement
45264890,abc314_g,outside_vocabulary,claude-codex-blinded-agreement
46043300,abc315_f,dynamic_programming,claude-codex-blinded-agreement
46240679,abc317_f,dynamic_programming,claude-codex-blinded-agreement
55010802,abc320_c,brute_force_implementation,claude-codex-blinded-agreement
54919763,abc320_d,graph_traversal_dfs_bfs,claude-codex-blinded-agreement
50314783,abc321_f,dynamic_programming,claude-codex-blinded-agreement
46196763,abc322_b,brute_force_implementation,claude-codex-blinded-agreement
46190250,abc322_d,brute_force_implementation,claude-codex-blinded-agreement
53004931,abc322_e,dynamic_programming,claude-codex-blinded-agreement
54930796,abc323_c,greedy,claude-codex-blinded-agreement
47205844,abc325_f,dynamic_programming,claude-codex-blinded-agreement
54454360,abc326_c,sliding_window,claude-codex-blinded-agreement
52796362,abc326_d,brute_force_implementation,claude-codex-blinded-agreement
55003503,abc327_c,brute_force_implementation,claude-codex-blinded-agreement
54743139,abc328_b,brute_force_implementation,claude-codex-blinded-agreement
48207650,abc330_f,binary_search,claude-codex-blinded-agreement
54711529,abc332_c,simulation,claude-codex-blinded-agreement
54467069,abc333_b,brute_force_implementation,claude-codex-blinded-agreement
55003175,abc334_c,prefix_sums,claude-codex-blinded-agreement
55029036,abc335_e,dynamic_programming,claude-codex-blinded-agreement
54308671,abc337_d,sliding_window,claude-codex-blinded-agreement
49855272,abc337_f,sliding_window,claude-codex-blinded-agreement
54041010,abc338_e,intervals,claude-codex-blinded-agreement
54672032,abc339_b,simulation,claude-codex-blinded-agreement
53281757,abc339_f,hash_map_counting,claude-codex-blinded-agreement
53927639,abc341_d,binary_search,claude-codex-blinded-agreement
50668241,abc342_g,outside_vocabulary,claude-codex-blinded-agreement
